Category,Start time,End time
Screen ,2015-09-30 08:05:13,2015-09-30 08:05:31
Screen ,2015-09-30 08:04:46,2015-09-30 08:05:05
Screen ,2015-09-30 08:04:28,2015-09-30 08:04:45
Screen ,2015-09-30 08:03:41,2015-09-30 08:04:17
Screen ,2015-09-30 08:01:59,2015-09-30 08:02:29
Screen ,2015-09-30 07:58:28,2015-09-30 07:58:48
Driving,2015-09-30 07:57:32,2015-09-30 08:08:54
Screen ,2015-09-30 07:57:21,2015-09-30 07:57:49
Screen ,2015-09-30 07:53:23,2015-09-30 07:53:36
Screen ,2015-09-30 07:39:19,2015-09-30 07:39:41
Screen ,2015-09-30 07:37:06,2015-09-30 07:38:05
GYM,2015-09-30 07:35:56,2015-09-30 07:35:59
Screen ,2015-09-30 07:35:49,2015-09-30 07:36:35
Screen ,2015-09-30 07:35:25,2015-09-30 07:35:48
Screen ,2015-09-30 07:33:57,2015-09-30 07:34:13
Screen ,2015-09-30 07:30:52,2015-09-30 07:31:16
Screen ,2015-09-30 07:28:43,2015-09-30 07:29:04
Screen ,2015-09-30 07:27:14,2015-09-30 07:27:34
Screen ,2015-09-30 07:23:57,2015-09-30 07:24:18
Screen ,2015-09-30 07:21:49,2015-09-30 07:22:05
Screen ,2015-09-30 07:18:50,2015-09-30 07:18:58
Screen ,2015-09-30 07:18:34,2015-09-30 07:18:48
Screen ,2015-09-30 07:16:25,2015-09-30 07:16:46
Screen ,2015-09-30 07:12:52,2015-09-30 07:13:05
Screen ,2015-09-30 07:10:46,2015-09-30 07:11:01
Screen ,2015-09-30 07:09:23,2015-09-30 07:09:47
Screen ,2015-09-30 07:05:41,2015-09-30 07:05:57
Screen ,2015-09-30 07:04:39,2015-09-30 07:04:58
Screen ,2015-09-30 07:02:42,2015-09-30 07:03:07
Screen ,2015-09-30 07:00:22,2015-09-30 07:00:52
Screen ,2015-09-30 06:56:54,2015-09-30 06:57:14
Screen ,2015-09-30 06:55:13,2015-09-30 06:55:28
Screen ,2015-09-30 06:50:00,2015-09-30 06:51:08
Screen ,2015-09-30 06:48:39,2015-09-30 06:48:53
Screen ,2015-09-30 06:46:29,2015-09-30 06:46:47
Screen ,2015-09-30 06:43:31,2015-09-30 06:43:35
Screen ,2015-09-30 06:41:40,2015-09-30 06:42:17
GYM,2015-09-30 06:36:10,2015-09-30 07:35:55
Screen ,2015-09-30 06:36:07,2015-09-30 06:36:30
GYM,2015-09-30 06:35:40,2015-09-30 06:36:08
Screen ,2015-09-30 06:34:57,2015-09-30 06:36:02
Screen ,2015-09-30 06:33:22,2015-09-30 06:33:37
Driving,2015-09-30 06:29:39,2015-09-30 06:33:26
Screen ,2015-09-30 06:29:37,2015-09-30 06:29:50
Screen ,2015-09-30 06:27:13,2015-09-30 06:27:13
Screen ,2015-09-30 06:11:36,2015-09-30 06:21:57
Screen ,2015-09-30 06:09:35,2015-09-30 06:09:49
Screen ,2015-09-30 06:04:23,2015-09-30 06:04:29
Screen ,2015-09-30 06:01:58,2015-09-30 06:03:25
Screen ,2015-09-30 05:33:50,2015-09-30 05:51:58
Screen ,2015-09-30 05:30:03,2015-09-30 05:33:49
Screen ,2015-09-29 23:29:45,2015-09-29 23:38:18
Screen ,2015-09-29 23:06:10,2015-09-29 23:28:38
Screen ,2015-09-29 23:05:27,2015-09-29 23:06:01
Screen ,2015-09-29 23:03:19,2015-09-29 23:03:39
Screen ,2015-09-29 22:53:55,2015-09-29 23:03:18
Screen ,2015-09-29 22:22:58,2015-09-29 22:53:51
Screen ,2015-09-29 22:20:45,2015-09-29 22:22:57
Screen ,2015-09-29 22:19:45,2015-09-29 22:20:44
Screen ,2015-09-29 21:47:21,2015-09-29 22:19:44
Screen ,2015-09-29 21:46:59,2015-09-29 21:47:16
Screen ,2015-09-29 21:04:04,2015-09-29 21:04:56
Screen ,2015-09-29 20:22:11,2015-09-29 20:23:42
Screen ,2015-09-29 20:18:38,2015-09-29 20:18:45
Screen ,2015-09-29 19:28:47,2015-09-29 19:29:45
Screen ,2015-09-29 18:28:35,2015-09-29 18:44:20
Screen ,2015-09-29 18:19:43,2015-09-29 18:20:45
Screen ,2015-09-29 17:58:18,2015-09-29 17:59:43
Screen ,2015-09-29 17:57:59,2015-09-29 17:58:10
Screen ,2015-09-29 17:28:15,2015-09-29 17:29:08
Screen ,2015-09-29 16:59:03,2015-09-29 17:08:17
Screen ,2015-09-29 16:58:18,2015-09-29 16:58:34
Screen ,2015-09-29 16:53:38,2015-09-29 16:54:44
Home ,2015-09-29 16:50:21,2015-09-30 06:30:42
Screen ,2015-09-29 16:50:03,2015-09-29 16:50:11
Screen ,2015-09-29 16:39:11,2015-09-29 16:39:46
Screen ,2015-09-29 16:38:09,2015-09-29 16:38:34
Screen ,2015-09-29 16:36:51,2015-09-29 16:36:54
Screen ,2015-09-29 16:36:31,2015-09-29 16:36:35
Driving,2015-09-29 16:35:18,2015-09-29 16:50:05
Screen ,2015-09-29 16:33:07,2015-09-29 16:33:09
Screen ,2015-09-29 16:32:44,2015-09-29 16:33:07
Screen ,2015-09-29 16:31:00,2015-09-29 16:31:09
Screen ,2015-09-29 15:55:29,2015-09-29 15:55:46
Screen ,2015-09-29 15:55:12,2015-09-29 15:55:23
Screen ,2015-09-29 15:54:18,2015-09-29 15:54:33
Screen ,2015-09-29 15:50:43,2015-09-29 15:52:56
Screen ,2015-09-29 12:17:45,2015-09-29 12:18:01
Screen ,2015-09-29 11:40:34,2015-09-29 11:40:58
Screen ,2015-09-29 10:57:16,2015-09-29 10:57:24
Screen ,2015-09-29 10:49:28,2015-09-29 10:49:32
Screen ,2015-09-29 10:45:27,2015-09-29 10:45:43
Screen ,2015-09-29 10:09:34,2015-09-29 10:10:26
Screen ,2015-09-29 10:09:28,2015-09-29 10:09:33
Screen ,2015-09-29 09:00:44,2015-09-29 09:00:54
Screen ,2015-09-29 08:57:43,2015-09-29 08:57:49
